Artist Name,Album Image,Album URL
ザ・カーナビーツ,https://i.scdn.co/image/ab67616d00001e023099ce2ccfaac39fa66e186a,https://open.spotify.com/album/5UUSe3Z5oreQSQBVHGAR6H
東京スカパラダイスオーケストラ,https://i.scdn.co/image/ab67616d00001e022bb511ebe9bdb5b62eb2e677,https://open.spotify.com/album/0PoeRosC0p1QeV3KTIWxXw
THE SQUARE,https://i.scdn.co/image/ab67616d00001e02067a14745c5d2fa636cd934b,https://open.spotify.com/album/43NC10Biq8IF9uC1YXtgPS
ゴダイゴ,https://i.scdn.co/image/ab67616d00001e02455ad2e03ea34bd8a23ff4ed,https://open.spotify.com/album/35sSpxeuWp96p2PR1D7BZN
NUMBER GIRL,https://i.scdn.co/image/ab67616d00001e02cea6b5bf12cc61e5508a3df9,https://open.spotify.com/album/53SM7JmehI9uYICKm1Z4Qu
水樹奈々,https://i.scdn.co/image/ab67616d00001e02ad117f33bcee813a8dcdcfaa,https://open.spotify.com/album/3lRVQZ0Gbzk6OqXFIhOkNO
あらきゆうこ,https://i.scdn.co/image/ab67616d00001e021b358c06fdc14d77d7d88a86,https://open.spotify.com/album/6uw5X4xTRgUPWiFQlwdgBi
プラスティック・オノ・バンド,,
MGS,https://i.scdn.co/image/ab67616d00001e02363afa4d40411817d84cfd2c,https://open.spotify.com/album/60KjFXEdXemijGV2FRHx1g
ヴァン・ヘイレン,https://i.scdn.co/image/ab67616d00001e02d89ec5f1570ad3b4cae2d6f2,https://open.spotify.com/album/7gdFQXiDhkjc6FHP9pjaCm
ライジング・フォース,,
ジェリーフィッシュ,https://i.scdn.co/image/ab67616d00001e0230957fe1bb4eacaf4253993a,https://open.spotify.com/album/1XcVkOmPrO2n2hkagup3lu
スライ&ザ・ファミリー・ストーン,,
キング・クリムゾン,https://i.scdn.co/image/ab67616d00001e02d8a1b2f850d54fb9150daa62,https://open.spotify.com/album/0VMADiePYCgnZR5eH8iWHl
キャメル,https://i.scdn.co/image/ab67616d00001e0246aaf2529dfb58a4921c235d,https://open.spotify.com/album/7d71MatWXJgQ9KWs9tMatL
ディープ・パープル,https://i.scdn.co/image/ab67616d00001e0285084c47c49348df05247425,https://open.spotify.com/album/6DXNHsjmB0ogbCBAKdNpQs
イン・フレイムス,https://i.scdn.co/image/ab67616d00001e02d156aa78022844777cc51267,https://open.spotify.com/album/1IqQ6UX3hzJLVXtRmui4w3
T.V.,https://i.scdn.co/image/ab67616d00001e02e716b6507c6e92225e4a31e9,https://open.spotify.com/album/4fHBM9zskFEERJPccNsUKJ
HEAT WAVE,https://i.scdn.co/image/ab67616d00001e0293a5189aa182b74d21e28309,https://open.spotify.com/album/2u2ZygHTu7w8XICnj4fXZR
JAPA Bloco,,
ASIAN KUNG-FU GENERATION,https://i.scdn.co/image/ab67616d00001e026d4451c8890bc532222c6e38,https://open.spotify.com/album/3RJRauD27BwXHYI19CqwHu
チューリップ,https://i.scdn.co/image/ab67616d00001e02d4eb2e557793c7ecb8bcf1bf,https://open.spotify.com/album/21TONUs6QFlEpdwbtYVt6k
クラムボン,,
SAKEROCK,https://i.scdn.co/image/ab67616d00001e0275ea7d39688b4e9978e2f874,https://open.spotify.com/album/3jkyHo2scJi55IAmZYiXde
あいみょん,,
SUPER EGG MACHINE,,
FLOW,https://i.scdn.co/image/ab67616d00001e02ca5507b80c5a4993321bddf2,https://open.spotify.com/album/2Jpgkfvp3cQIK9B0sWxatk
AIRBLANCA,,
ハロウィン,,
ザ・ワイルドワンズ,,
ロードオブメジャー,https://i.scdn.co/image/ab67616d00001e02ddb26879f82d6c3d8f5399d5,https://open.spotify.com/album/4HevHi0u4LIHlSD93NsruV
村八分,,
バーズム,,
フランクザッパ,https://i.scdn.co/image/ab67616d00001e0221276eff8e169e83a15ddd6b,https://open.spotify.com/album/19fkv1dCd8rUwvcDsA5j5e
ZYYG,,
ACIDMAN,https://i.scdn.co/image/ab67616d00001e02a1096ec41879a45879bc835a,https://open.spotify.com/album/6EA4uovmGjFIEhPGHOhpF1
ガンマ・レイ,https://i.scdn.co/image/ab67616d00001e024d8570ebef30c62bb3734570,https://open.spotify.com/album/65175DHEHX4ueq2whXGfGb
アット・ザ・ゲイツ,,
THE BLUE HEARTS,https://i.scdn.co/image/ab67616d00001e02205694a672949c77219743a1,https://open.spotify.com/album/342p2PGm9bvwqdNg1FQd6C
マザーズ・オブ・インヴェンション,,
山崎まさよし,https://i.scdn.co/image/ab67616d00001e02a860f416c8f73d9202a9fd49,https://open.spotify.com/album/2DBahdxyVUy2QfxqupDitA
河口恭吾,https://i.scdn.co/image/ab67616d00001e02a882027236547acd95f8b63e,https://open.spotify.com/album/5Yph348MUzN89OisOSQOW1
サカナクション,https://i.scdn.co/image/ab67616d00001e02fa3a501155b6a5650e8cc494,https://open.spotify.com/album/7xmb7nxTWhNwAdOo4JKJJw
ディサルモニア・ムンディ,,
THE GOOD-BYE,https://i.scdn.co/image/ab67616d00001e02b5d93896f9b99813a6c6a620,https://open.spotify.com/album/0XNtM27DPAOYcuPiReDtER
ゼブラヘッド,,
ザ・ダークネス,https://i.scdn.co/image/ab67616d00001e02ab8a22bc00bc0bccd4687cca,https://open.spotify.com/album/4J9wRTjfwgUnsLagyQ1uwX
orange pekoe,https://i.scdn.co/image/ab67616d00001e02b636acc20f1bfc2ee18bd66f,https://open.spotify.com/album/07YWStofk72MSu7ykwRrvy
KISS,https://i.scdn.co/image/ab67616d00001e02cd54fed53750e65eac4eacfd,https://open.spotify.com/album/5fy9u8pWFQtEO2Er9SSfcj
ブラック・サバス,https://i.scdn.co/image/ab67616d00001e02e1e5d763b69f271654735ca5,https://open.spotify.com/album/2eWjV3Vrs1BYJyJtvOdRhy
ヴォイジャー,,
ザ・テンプターズ,https://i.scdn.co/image/ab67616d00001e02106a829b5dfaf76aaea90f73,https://open.spotify.com/album/7muYXVrXEb9L5anbQjUSDr
関ジャニ∞,,
THE HIGH-LOWS,,
Poppin'Party,https://i.scdn.co/image/ab67616d00001e025a07ecffa94e2362dbf95dce,https://open.spotify.com/album/4sbJMhqqAhU33khW3jy2v0
オフコース,,
flumpool,https://i.scdn.co/image/ab67616d00001e022f2fa8d4c4f09842b89825c0,https://open.spotify.com/album/1r4OmtQDqbrWo5llPSIWue
レベッカ,https://i.scdn.co/image/ab67616d00001e0241560e12b9ccb80154380fb6,https://open.spotify.com/album/5qtC822B64tjw8kfteCv4o
愛奴,,
すかんち,,
ウェザー・リポート,https://i.scdn.co/image/ab67616d00001e02764d6051248dc98ae3657674,https://open.spotify.com/album/7qbUoaE62BHyjGjxc7qYrK
イモータル,,
ヴァニラ・ファッジ,https://i.scdn.co/image/ab67616d00001e02f5f67a3eecf1975fe23b26be,https://open.spotify.com/album/11awSzF2lRX7E9JArwxsnb
エマーソン・レイク・アンド・パーマー,,
ボブ・マーリー&ザ・ウェイラーズ,,
the GazettE,https://i.scdn.co/image/ab67616d00001e02671d7bcb5fa33cc3f0ab7b81,https://open.spotify.com/album/1YpwIetpAIUMinDouMu8jB
ウィンターサン,,
STANCE PUNKS,https://i.scdn.co/image/ab67616d00001e0286cebe0a12e0a8cdfe9cdfed,https://open.spotify.com/album/6s2vQzy85pR6qPUfeQKkPT
KOHL,https://i.scdn.co/image/ab67616d00001e024fcbdebbb478f2f9f6a336d3,https://open.spotify.com/album/6tydRNSuLjQluysVakf5pk
はちみつぱい,,
Kill=slayd,,
ザ・ドリフターズ,https://i.scdn.co/image/ab67616d00001e0274a9c6a33438ef587d582fe4,https://open.spotify.com/album/0nNQ9n3SvjGDhxJ8OdlEsP
MR.ORANGE,,
ツヅリ・ヅクリ,,
RIZE,https://i.scdn.co/image/ab67616d00001e0245244c69304bfca705d1fb62,https://open.spotify.com/album/3MkowLD9nRJLR8eOKAX6gt
MALICE MIZER,,
9mm Parabellum Bullet,https://i.scdn.co/image/ab67616d00001e02ac495671401cecdfc50f4aa0,https://open.spotify.com/album/4KpSEm7faORT0XUFZRTAJc
グラスバレー,https://i.scdn.co/image/ab67616d00001e02e00dce86d3924d466033ac29,https://open.spotify.com/album/7xoMfWsOw8B23NciFDbD8Y
GRAPEVINE,https://i.scdn.co/image/ab67616d00001e02675be99547bc13f780135d62,https://open.spotify.com/album/5wU7aiu8XCF4m39OnJDxy4
カーペンターズ,https://i.scdn.co/image/ab67616d00001e02e411fb5a73ed63f7003b4218,https://open.spotify.com/album/6qyoUTpM2MpnuS5l2eoyZd
川口千里,https://i.scdn.co/image/ab67616d00001e02bb195215fbc43ae6d4a3ecee,https://open.spotify.com/album/3bLtbIdGz8OpylV926gBmX
ユニコーン,https://i.scdn.co/image/ab67616d00001e02711717bf06312b0e1fdcba12,https://open.spotify.com/album/1kRmUc2mjUeROgPvI6Kvza
Sound Schedule,https://i.scdn.co/image/ab67616d00001e023d367576ef8ed9148940d44b,https://open.spotify.com/album/2Cl3zwN0Bfzgzw1662zIXa
Whiteberry,https://i.scdn.co/image/ab67616d00001e028f8394625522976e7a18725d,https://open.spotify.com/album/7z08Z35yUtU3Js9q4MhYrM
椎名林檎,https://i.scdn.co/image/ab67616d00001e02add923e0f387d2479380306c,https://open.spotify.com/album/7tean6qlQaKq6tyqzaLrpR
ドゥービー・ブラザーズ,https://i.scdn.co/image/ab67616d00001e022654e6a8d375758c35c7813b,https://open.spotify.com/album/0MVbWdVN8IK5SXwpYaKUGa
ザ・フー,https://i.scdn.co/image/ab67616d00001e02b738367ec6cdbd3e29d7efdf,https://open.spotify.com/album/4uehIELOvaBf8ZbhQGrhkd
キャプテンストライダム,https://i.scdn.co/image/ab67616d00001e0273bf8f6e6139ff6690886e65,https://open.spotify.com/album/3XSKj9FBUbbcB5XJBsgVyp
THE YELLOW MONKEY,https://i.scdn.co/image/ab67616d00001e020b6f65dc4f6a3bd206823aa7,https://open.spotify.com/album/39n51FT5W3s7gvbkgTwR05
D'ERLANGER,https://i.scdn.co/image/ab67616d00001e0282db0396a165334e228006cb,https://open.spotify.com/album/1rOxVH017PXQ68tXxwrmRj
ジャックス,,
ORANGE RANGE,https://i.scdn.co/image/ab67616d00001e028525dda017cf6698444161bd,https://open.spotify.com/album/6iO8TjBQT1SKvKKWjKWTeM
プリズム,https://i.scdn.co/image/ab67616d00001e023517b6207194baf9d2e20c58,https://open.spotify.com/album/1re6lKJ6HThy2skOaEkHiD
叫ぶ詩人の会,,
EARTHSHAKER,https://i.scdn.co/image/ab67616d00001e02f5e5599ce981ce072752e14a,https://open.spotify.com/album/2x5YdKeVV9WqbZEKE1X0RX
The Birthday,https://i.scdn.co/image/ab67616d00001e02f2823f1a4e489008f825fa61,https://open.spotify.com/album/1oG7SIa3Pw4KTPZ2dY5fbT
トリックス,https://i.scdn.co/image/ab67616d00001e02d029e2933c99a31f2dfafc2f,https://open.spotify.com/album/3uUhGcJnu2zjVAKLX6VCpg
SCREAMING SOUL HILL,,
ジェームスブラウン,https://i.scdn.co/image/ab67616d00001e02477b4a35010c5ad09edfb96d,https://open.spotify.com/album/0A1X2WAwsc4ERUGTctTZn4
PAMELAH,,
ザ・ファーム,https://i.scdn.co/image/ab67616d00001e02c213d93bcf090c1a750b4d92,https://open.spotify.com/album/3eN0jZc55PwHoGFagQ0Izr
マグマ,,
スタッフ,,
New Cinema 蜥蜴,,
沢田研二,https://i.scdn.co/image/ab67616d00001e02472168980a0c78805782b849,https://open.spotify.com/album/2rTxpaw0yfOQRLdpikNi9U
グレゴリー・ハッチンソン,,
flow-war,,
10cc,https://i.scdn.co/image/ab67616d00001e026667edf61cc9782d6e094c19,https://open.spotify.com/album/7gMvgOEXNdLYA6Zv0dOcVe
KANA-BOON,https://i.scdn.co/image/ab67616d00001e02980c5bd4576671cbdbc35d86,https://open.spotify.com/album/7Biahwcice2vS5XvafxhZw
クリープハイプ,https://i.scdn.co/image/ab67616d00001e02b9edec528ff3ab401bf3e194,https://open.spotify.com/album/2xXBLrS026lOtokTttSEm8
LOVE BELL BACK LINE,,
10-FEET,https://i.scdn.co/image/ab67616d00001e02f2823f1a4e489008f825fa61,https://open.spotify.com/album/1oG7SIa3Pw4KTPZ2dY5fbT
レインボウ,https://i.scdn.co/image/ab67616d00001e025ebc03504fefe1fe75116b98,https://open.spotify.com/album/0Q2rqNKYjRtjF4bxHP5Bxn
Skoop On Somebody,https://i.scdn.co/image/ab67616d00001e02b376fc6df0e642cc3ca491ef,https://open.spotify.com/album/6yxrNvlYKjfx2yRRiMquCb
ハートバザール,,
FIELD OF VIEW,https://i.scdn.co/image/ab67616d00001e02e36c96e3fabef582b3f00090,https://open.spotify.com/album/41Lpmk6cZ6264XFLvY6OVP
JUN SKY WALKER(S,,
リンドバーグ,,
GO-BANG'S,https://i.scdn.co/image/ab67616d00001e02fae47d7d8ff35bd2871b4aaa,https://open.spotify.com/album/1Jht9HEWbRtSemyb1uIExq
TOTO,https://i.scdn.co/image/ab67616d00001e0264fc8c1e56b92e23b64a5e62,https://open.spotify.com/album/1Dnw7RXkMsM1Bc5zjuBcby
AC/DC,https://i.scdn.co/image/ab67616d00001e02ef12b029b06161adc1f4adcb,https://open.spotify.com/album/07uJ5p9BqjHx3gqllaC2jX
tacica,https://i.scdn.co/image/ab67616d00001e02670d0e272a3582a093854f64,https://open.spotify.com/album/3xV48S9MVF6uyKneMhS5m3
スピッツ,https://i.scdn.co/image/ab67616d00001e02622ca4b0159cc73e9c7c1c57,https://open.spotify.com/intl-ja/album/5u95y591xPiCFY3UI5gHqY
L'Arc〜en〜Ciel,https://i.scdn.co/image/ab67616d00001e028481779733a5364e6e9caafd,https://open.spotify.com/album/20ZAVYfQA6HvJdxGImnWW0
Dragon Ash,https://i.scdn.co/image/ab67616d00001e02efa42d4495df965668dd4be5,https://open.spotify.com/album/38x9HeA28R12rvi87sYPaL
LUNKHEAD,https://i.scdn.co/image/ab67616d00001e02de5f4f98bcffc9f5eb1f989c,https://open.spotify.com/album/2J51hWVnmtteuyLjnxh65e
カシオペア,https://i.scdn.co/image/ab67616d00001e0229c43b190c070a4313ff63a7,https://open.spotify.com/album/6PHS0O7Gfkmbo0yBBC4xsg
HELDEN TUM,,
Pay money To my Pain,https://i.scdn.co/image/ab67616d00001e026cb8e5001baf5144c6ffd27d,https://open.spotify.com/album/6cBrX444w1OquRC1dT1J0W
HIGH and MIGHTY COLOR,https://i.scdn.co/image/ab67616d00001e028bc5f30cbb2e0d84e0d8849f,https://open.spotify.com/album/3n88JVbgr3hth4oy5fRZT8
indigo la End,https://i.scdn.co/image/ab67616d00001e0288d2f682d5758066b9121dc9,https://open.spotify.com/album/7xUcXqqnjoshnB3pqxIFOb
KENZI&THE TRIPS,,
サザーランド,,
aiko,https://i.scdn.co/image/ab67616d00001e02077088f748b9a087b5ae78bc,https://open.spotify.com/album/1dQZQEwV1ambDLvwfSEgjx
THE POWERNUDE,,
ウルフルズ,https://i.scdn.co/image/ab67616d00001e027dadb82aa4e4f2f13233ceb2,https://open.spotify.com/album/14JMlYx5bOucM7RwmX4hT1
ランナウェイズ,,
AJICO,https://i.scdn.co/image/ab67616d00001e02f0d48414362903cc040b4883,https://open.spotify.com/album/4Hc5jMGF7ODDqzdni8iaC5
ベニー・グッドマン楽団,,
ストラングラーズ,https://i.scdn.co/image/ab67616d00001e02c0a5c67e76f6659cdd90d0f4,https://open.spotify.com/album/3sWEeDRYNxiKdnJ4BM2XUW
コズモスクアッド,,
クレイトン＝ハミルトン・ジャズ・オーケストラ,,
かかし,,
ステレオポニー,https://i.scdn.co/image/ab67616d00001e0280d27cbeeaf855c8e2aa960e,https://open.spotify.com/album/4dNouQcTrSVLpK1Vk1NCuC
松田聖子,https://i.scdn.co/image/ab67616d00001e02e0dcb6851e404bb976d51b95,https://open.spotify.com/album/5G8lnCLan2MCDUN1UOPMbN
ジミー・エバンス & ヒズ・オーケストラ,,
聖飢魔II,https://i.scdn.co/image/ab67616d00001e02fd8ead3937e08992f8592d6d,https://open.spotify.com/album/4DcHkQDTfKOirqRwCMRFGJ
ディム・ボルギル,,
ジャッキー吉川とブルーコメッツ,,
Janne Da Arc,https://i.scdn.co/image/ab67616d00001e029377a472aa747c4adfb56ee3,https://open.spotify.com/album/17nKG61PtoLKSqBYTF4UOt
SIAM SHADE,https://i.scdn.co/image/ab67616d00001e02decf437dd5836e84993a67ec,https://open.spotify.com/album/6emUYNWUzWylEjkMaBSaIM
エアロスミス,https://i.scdn.co/image/ab67616d00001e029f4133be652ae6126145a10c,https://open.spotify.com/album/1TEsUEdGcXTXyRmqv3u2iO
ナイル,https://i.scdn.co/image/ab67616d00001e026900cc9f1a8e929bd87796fe,https://open.spotify.com/album/2dfnybJ96sAnkIAADdO7Ka
BIGMAMA,https://i.scdn.co/image/ab67616d00001e025ffec80b95c951c39beea239,https://open.spotify.com/album/5XOYPKYFFdptVsGL7B4lA6
[Alexandros],https://i.scdn.co/image/ab67616d00001e02e12f71d823b213d333e639e8,https://open.spotify.com/album/4yeapGoU41jOpUT3rdob5n
ピンククラウド,https://i.scdn.co/image/ab67616d00001e025e69cc33c74171588683ed96,https://open.spotify.com/album/5CoYJsCnRXqYQScRFd3gQk
ジャボ,,
コロシアム,,
レッド・ツェッペリン,https://i.scdn.co/image/ab67616d00001e02ce69f6900fa18dd689d2d45b,https://open.spotify.com/album/6VH2op0GKIl3WNTbZmmcmI
トータス,https://i.scdn.co/image/ab67616d00001e02fb9c95d3be46d5fef6c1b1fc,https://open.spotify.com/album/72hQIk3pRPP638S32EaboM
ロッテンハッツ,,
レミオロメン,https://i.scdn.co/image/ab67616d00001e02a61b20212c39c33b438bb206,https://open.spotify.com/album/30i28MBCH92QxhDJuOc44J
マリリン・マンソン,https://i.scdn.co/image/ab67616d00001e02da0f0348712fba481c1761e3,https://open.spotify.com/album/3VOlp4Dion1qjjvhmuDZvV
クリーム,https://i.scdn.co/image/ab67616d00001e02381f33517ba2d908a525b83f,https://open.spotify.com/album/4SzKeHpQX1scbuJtQL4KHt
UVERworld,https://i.scdn.co/image/ab67616d00001e0216a6134a8e12604c1de30992,https://open.spotify.com/album/78cmjYT0DSyCyuNNzED1tT
LUNA SEA,https://i.scdn.co/image/ab67616d00001e02e7e6e1b6b3c66b3e5b6d5af0,https://open.spotify.com/album/4OU4akE75MOXBjLO5NXeYz
Dir en grey,https://i.scdn.co/image/ab67616d00001e02d0ad4fa79d9213ea3c4ec262,https://open.spotify.com/album/6UwjEa3d5izqJbyieLVXRj
シネマ,,
Mr.Children,https://i.scdn.co/image/ab67616d00001e020718fc0571d31dbbb3e7855d,https://open.spotify.com/album/7dLAnncxnWnfFhdoZwF27w
ディーサイド,,
ジャパン,https://i.scdn.co/image/ab67616d00001e0216e5e41582b326aa3832da8e,https://open.spotify.com/album/0ezKQuRSkTDJSgwJ6iL4Jq
アベレイジ・ホワイト・バンド,,
スライ&ロビー,https://i.scdn.co/image/ab67616d00001e02261ec5313bccfbf24c245388,https://open.spotify.com/album/0YgSa9TlGHFTu8ghp9LiD9
3,,
GO!GO!7188,https://i.scdn.co/image/ab67616d00001e026a510f4380d80cffb20f7e85,https://open.spotify.com/album/2b2lD1xFbPaYxrs4B6cRty
メガデス,https://i.scdn.co/image/ab67616d00001e0262c843dbee54435efe80987f,https://open.spotify.com/album/1ziUtOuRT545OI4cnHEMhC
Non Stop Rabbit,https://i.scdn.co/image/ab67616d00001e02f8f7a93f78b708866111fd9c,https://open.spotify.com/album/0QX8vzZ7HrFHdEcai6hP5F
ガガガSP,https://i.scdn.co/image/ab67616d00001e0214b219b3d425747e2eeee82b,https://open.spotify.com/album/2fftHCw5wj2J0qp7gr41nM
KUMACHI,,
CHARCOAL FILTER,https://i.scdn.co/image/ab67616d00001e0268f90e018aafc6a78915f106,https://open.spotify.com/album/6TSfyzt2Vh5UYexzA8knlX
チャットモンチー,https://i.scdn.co/image/ab67616d00001e02146c6f46e62e18a6aa7ab3fd,https://open.spotify.com/album/2m3ufeqKJqj15XROumkwrG
PEALOUT,https://i.scdn.co/image/ab67616d00001e024133f1017642f4ec8237520b,https://open.spotify.com/album/0F1xMZ5BZCSJfloLjHDC9O
ELLEGARDEN,https://i.scdn.co/image/ab67616d00001e026c795df60a32c2e9448a0cd9,https://open.spotify.com/album/60ZYXQLKm2CcOrPD661eh9
