ID,Name,Discogs ID
1,アート・テイラー,261196
2,アート・ブレイキー,29977
3,アイアート・モレイラ,
4,アイ高野,1069898
5,青木達之,569996
6,青山純,547646
7,浅野良治,
8,麻生祥一郎,3549775
9,アヒト・イナザワ,1388113
10,阿部薫,383227
11,あらきゆうこ,487798
12,アラン・ホワイト,
13,アル・ジャクソン,
14,アール・パーマー,244727
15,アル・フォスター,271001
16,アレックス・アクーニャ,414957
17,アレックス・ヴァン・ヘイレン,398510
18,アンダース・ヨハンソン,
19,アンディ・スターマー,
20,アンディ・ニューマーク,200762
21,アンドリュー・マカロック,
22,アンディ・ウォード,
23,アントニオ・サンチェス,
24,アントン・フィグ,
25,イアン・ウォーレス,
26,イアン・ペイス,261635
27,イェスパー・ストロムブラード ,
28,五十嵐公太,1761035
29,池畑潤二,634828
30,Isao Cato,
31,石川晶,259139
32,伊地知潔,442210
33,伊藤薫,671055
34,伊藤大助,2694779
35,伊藤大地,1360124
36,猪俣猛,596941
37,伊吹文裕,6205795
38,今村舞,2452187
39,IWASAKI,1452751
40,岩田ガンタ康彦,2849864
41,インゴ・シュヴィヒテンバーグ,
42,上田雅利,4014824
43,植田芳暁,1314072
44,上原彰兼,
45,上原裕,529928
46,ヴァーネル・フォーニア,
47,ヴァルグ・ヴィーケネス,
48,ヴィットーリオ・シクバルディ,
49,ヴィニー・アピス,
50,ヴィニー・カリウタ,19696
51,ウィリー・ボボ,33585
52,ヴェサ・ランタ,
53,内田稔,4737839
54,宇津本直紀,
55,宇乃かつを,
56,浦山一悟,
57,ウリ・カッシュ,
58,エイドリアン・アーランドソン ,
59,英竜介,
60,エインズレー・ダンバー,
61,江川ゲンタ,1090461
62,江口信夫,371062
63,江島啓一,1587308
64,エットレ・リゴッティ,
65,衛藤浩一,3931851
66,エド・ウドハス,
67,エド・グラハム,
68,江藤良人,8899576
69,エリック・カー,
70,エリック・シンガー,
71,エリック・ハーランド,
72,エルヴィン・ジョーンズ,135885
73,大口広司,927526
74,大久保敦夫,3594758
75,大倉忠義,9426868
76,大坂昌彦,1440598
77,大島賢治,1857075
78,大橋彩香,4995570
79,大間ジロー,2613768
80,小倉誠司,
81,小田原豊 ,1126792
82,岡本郭男,2530069
83,"小畑""PUMP""隆彦",
84,オマー・ハキム,253649
85,オルヴェ・エイケモ,
86,カーマイン・アピス,
87,カール・サンダース,
88,カール・パーマー,
89,カールトン・バレット,
90,戒,1964372
91,カイ・ハフト,
92,柿健一 ,3327208
93,梶谷雅弘,
94,かしぶち哲郎,386062
95,梶原徹也,434416
96,KAZUSHI,1379014
97,加藤健治,
98,加藤茶,8824837
99,かどしゅんたろう,3019233
100,金山典世,
101,金子ノブアキ,1373802
102,Kami,
103,かみじょうちひろ,6954207
104,上領亘,1877563
105,亀井亨,679132
106,カレン・カーペンター,
107,川口千里,3939945
108,川西幸一,651619
109,川原洋二,
110,川村恵里加,
111,河村カースケ智康,413832
112,キース・ヌードセン,
113,キース・ムーン,259772
114,菊住守代司,
115,菊地英二,2360577
116,菊地哲,1759718
117,木田高介,11108174
118,北尾一人,
119,木村万作,768945
120,きりばやしひろき,
121,工藤義弘,1416840
122,クハラカズユキ,1505112
123,熊谷徳明,2882488
124,粂井宏昭,7614942
125,クライド・スタブルフィールド,
126,倉澤圭介,
127,クリス・スレイド,
128,クリスチャン・ヴァンデ,252641
129,クリストファー・パーカー,
130,車谷啓介,7974398
131,GRACE ,
132,グレゴリー・ハッチンソン,345718
133,グレッグ・エリコ,
134,グレッグ・ビソネット,
135,黒瀬蛙一,
136,ケニー・クラーク,228917
137,ケニー・ジョーンズ,
138,ケヴィン・ゴドレイ,
139,小泉貴裕,813206
140,小泉拓,
141,航,
142,KOUICHI,
143,コージー・パウエル,
144,KO-HEY,1035107
145,國分建臣,
146,小橋琢人,
147,小林雅之,3518535
148,小柳昌法,1497085
149,斉藤光子,2071301
150,サイモン・フィリップス,77223
151,サイモン・ライト,
152,坂井俊彦,
153,﨑山龍男,1263379
154,sakura,605386
155,桜井誠,503044
156,櫻井雄一,
157,佐々木隆,
158,ササキ・ユタカ,
159,ZAX,
160,SASSY,208979
161,佐藤栄太郎,
162,佐藤奏,
163,佐藤シンイチロウ,321730
164,佐藤貴志,
165,佐野康夫,296798
166,沢木優,
167,ザック・スターキー,
168,サンコンJr.,
169,サンディ・ウェスト,696281
170,椎野恭一,523116
171,シーラ・E,79433
172,ジーン・クルーパ,258689
173,ジェット・ブラック,
174,シェーン・ガラース,628405
175,ジェフ・ハミルトン,
176,ジェフ・バラード,
177,ジェフ・ポーカロ,332625
178,ジェフ・ワッツ,253394
179,シェリー・マン,265354
180,ジェレミー・ステーシー,
181,柴田一郎,877092
182,SHIHO,7685646
183,島村英二,574400
184,ジミー・コブ,252311
185,ジミー原田,4155634
186,ジム・ケルトナー,
187,ジム・ゴードン,255372
188,ジャイアント吉田,7158558
189,ジャギ古川CAP,
190,シャグラット,
191,ジャッキー吉川,7781560
192,ジャック・ディジョネット,238626
193,shuji,1358259
194,淳士,2023901
195,ジョーイ・クレイマー ,289821
196,ジョージ川口,1803197
197,ジョージ・コリアス,
198,ジョー・ジョーンズ,2605611
199,リアド 偉武,2839613
200,庄村聡泰,7566313
201,ジョニー吉長,3627114
202,ジョン・スタークス,
203,ジョン・ハイズマン,
204,ジョン・ボーナム,457468
205,ジョン・マッケンタイア,
206,白根賢一,359684
207,神宮司治,9936361
208,神保彰,424418
209,ジンジャー・フィッシュ,
210,ジンジャー・ベイカー,
211,真太郎,2937228
212,真矢 ,605366
213,Shinya,1056387
214,菅沼孝三,691416
215,鈴木さえ子,799226
216,鈴木英哉 ,468742
217,スチュワート・コープランド,
218,スティーブ・アシェイム,
219,スティーヴ・ガッド,258118
220,スティーヴ・ジャンセン,104319
221,スティーヴ・ジョーダン,173865
222,スティーヴ・スミス,308527
223,スティーヴ・フェローン,
224,スライ・ダンバー,
225,そうる透,1261501
226,ターキー,1296068
227,ダーク・ヴェルビューレン,
228,太我,
229,田嶋悟士,3366125
230,高田政良,
231,高野真太郎,
232,高橋久美子,6856221
233,高橋浩司,3950250
234,高橋宏貴,2492203
235,高橋まこと,349846
236,高橋幸宏,58981
237,高橋ロジャー和久,
238,高村佳秀,7712770
239,TAKEO,1292858
240,田沢公大,669154
241,TASSHI,4074263
242,tax,
243,田中清司,621279
244,田中裕二,3736202
245,田中一光,
246,レイジ・タナカ,2614883
247,谷口奈穂子,
248,田邊昭知,1095200
249,ダニエル・セラフィン,
250,ダニエル・アデア,
251,ダニエル・アーランドソン,
252,ダニエル・スヴェンソン ,
253,ダニエル・ユメール,
254,玉田豊夢,371044
255,田村はるな,
256,タリム,
257,ダン・スワノ,
258,チト河内,507143
259,チェスター・トンプソン,
260,チャーリー・ワッツ,299325
261,"チャールズ・""ハングリー""・ウィリアムズ",
262,チャド・スミス,225315
263,チャド・ワッカーマン,
264,恒岡章,614744
265,つのだ☆ひろ,5485018
266,角田美喜,4162175
267,鶴田加奈子,
268,鶴谷智生,1469365
269,ティコ・トーレス,
270,デイヴ・ウェックル,267102
271,デイヴ・グロール,
272,デイヴ・ロンバード,
273,ティト・プエンテ,
274,デヴィッド・ガリバルディ,
275,デニス・チェンバース,265055
276,テリー・ボジオ,256187
277,徳永善也,
278,栃木孝夫,3434197
279,トニー・アレン,
280,トニー・ウィリアムス,298013
281,トーマス・ラング,1046780
282,トミー・アルドリッジ,
283,トミー・スナイダー,623145
284,トミー・プライス,
285,トミー・リー,305417
286,富田京子,836999
287,TOMOYA,3846902
288,Tomoi,1068653
289,トラヴィス・バーカー,341815
290,トレ・クール,443828
291,ドン・ヘンリー,249597
292,ナイジェル・グロックラー,
293,中幸一郎,647084
294,長井一郎,3552071
295,永井利光,1057920
296,中畑大樹,5830750
297,中村逸人,
298,中村達也,1161058
299,ナカヤマシンペイ,10124980
300,ナラダ・マイケル・ウォルデン,
301,ナヲ,3190827
302,新井田耕造,1261654
303,ニール・パート,398982
304,ニコ・マクブレイン ,
305,ニック・メイスン,
306,ニック・メンザ,
307,にゃんごすたー,
308,沼澤尚,483726
309,野口薫,1709329
310,野口明彦,1062025
311,野崎真助,1358262
312,則竹裕之,814155
313,ハーヴィー・メイソン,64652
314,長谷川浩二,723731
315,長谷部徹,1271699
316,刃田綴色,413490
317,パット・トーピー,
318,パット・マステロット,
319,バディ・リッチ,57620
320,バーナード・パーディ,
321,ハナ肇,7473536
322,林立夫,642018
323,"原""GEN""秀樹",468234
324,原田俊太郎,7281025
325,原田裕臣,310603
326,坂東慧,4039317
327,東原力哉,3505246
328,ピーター・アースキン,257421
329,ピーター・ウィルドアー,
330,ピーター・クリス,286546
331,ピーター・テクレン ,
332,ピート・サンドヴァル,
333,ピート・ベスト,
334,ピート・ヨーク,
335,ピエール中野,1716537
336,ピエール・ムーラン,
337,東佳樹,
338,樋口晶之,929310
339,樋口宗孝,696796
340,英樹,
341,日野元彦,6356134
342,ピップ・パイル,
343,ビョーン・イエロッテ ,
344,平谷庄至,1191180
345,ビリー・コブハム,35199
346,ビリー・ヒギンス,135871
347,ビル・ブルーフォード,
348,ビル・リーフリン,
349,廣石恵一,4500852
350,HIROSHI,2535573
351,ファンキー末吉,561164
352,フィリー・ジョー・ジョーンズ,257251
353,フィル・コリンズ,101028
354,藤田浩司,
355,藤本健一,4486889
356,ふとがね金太,4323974
357,ブライアン・ダウニー,
358,ブライアン・ブレイド,252331
359,ブライアン・ベネット,108870
360,フランキー堺,4420126
361,フリオ・キリコ,1116065
362,フロスト ,
363,Fuyu,437064
364,ベイビー・ドッズ,
365,ベヴ・ベヴァン,
366,ポール・クック,
367,ほな・いこか,8873920
368,堀之内大介,1752911
369,本間大嗣,2713396
370,MAH,2974792
371,マービン・レノアー,
372,マイク・ポートノイ,
373,マイケル・ジャイルズ,
374,マイケル・シュリーヴ,
375,マイケル・ホサック,
376,まこと,5574407
377,マコト・サカモト,
378,マシータ,8456256
379,升秀夫,2957968
380,舛岡圭司,
381,松岡昌宏,6645413
382,マックス・ローチ,7052853
383,松田晋二,1896645
384,松田弘,766816
385,松藤英男,1202666
386,松永明日斗,
387,松永俊弥,837006
388,松本隆,625603
389,松本玲二,1118525
390,マルクス・ヒルヴォネン,
391,御木惇史,
392,ミッキー・ディー,
393,MIZUHO,4493207
394,道倉康介,314508
395,湊雅史,334170
396,みのすけ,1242914
397,三村隆史,
398,宮ユキオ,7898600
399,宮上元克,
400,宮田繁男,403882
401,宮野大介,
402,宮脇“JOE”知史,573320
403,三好真美,6836286
404,向山テツ,392180
405,牟田昌広,483791
406,村井守,6275355
407,村石雅行,413833
408,村上“ポンタ”秀一,529935
409,村上寛,471194
410,村瀬シゲト,1088645
411,むらたたむ,7521844
412,メルヴィン・パーカー,
413,メル・テイラー,475343
414,メル・ルイス,265390
415,モーリン・タッカー,
416,茂木欣一,650889
417,イクエ・モリ,124429
418,森信行,3888741
419,矢尾拓也,6072389
420,ヤガミトール,773814
421,八木優樹,6653841
422,ヤキ・リーベツァイト,
423,ヤスカ・ラーチカイネン,
424,ヤニ・ステファノヴィック,
425,矢野博康,11877911
426,矢部浩志,1200703
427,山木秀夫,143939
428,山口智史,4887417
429,山口昌人,6449502
430,山田雅人,1118514
431,山田亘,1069757
432,山中綾華,
433,ヤン・アクセル・ブロンベルク,
434,ヤンネ・パルヴィアイネン ,
435,ゆうや,
436,yukihiro,978714
437,YOSHIAKI,272332
438,YOSHIKI ,129116
439,吉田達也,223249
440,吉田太郎,
441,吉田佳史,3975444
442,芳垣安洋,288956
443,ラーズ・ウルリッヒ,251550
444,ライデン湯沢殿下,1667051
445,ラス・カンケル,
446,リヴォン・ヘルム,
447,リオン・テイラー,
448,リッキー・ローソン,
449,リック・マロッタ,
450,リッチー・ヘイワード,
451,RINA,3515814
452,笠浩二,3639092
453,リンゴ・スター,259352
454,RUKA,841029
455,レニ,
456,レニー・ホワイト,
457,LEVIN,256225
458,ロイ・ヘインズ,255556
459,ロジャー・テイラー,495058
460,ロジャー・ホーキンス,
461,ロッキー・グレイ,
462,ロバート・ワイアット,5049
463,ロルフ・ピルヴ,
464,ロン・ベック,
465,渡辺作郎,371775
466,渡辺拓郎,
467,渡辺豊,1013833
468,栗原寿,10631242
469,河村吉宏,2077573